id,inference_id,language_model_id,prompt_tokens,completion_tokens,total_tokens,model_options,cost
1,271de051-0833-49de-88fd-9f6487c9f47e,Qwen/Qwen2.5-Coder-32B-Instruct,22,356,378,"{""model_options_schema_version"":1}",
2,a6fbdaa3-01f3-4736-a5c0-be4f7d7a8511,Qwen/Qwen2.5-Coder-32B-Instruct,15,61,76,"{""model_options_schema_version"":1}",
3,55801018-dea5-4c73-99b2-2d2dfee76bb7,gemini-1.5-pro,91,22,113,"{""model_options_schema_version"":1}","""0.00022375"""
4,05ef3d66-aab1-47d7-a8e2-579d4b492b3a,gemini-1.5-pro,94,2,96,"{""model_options_schema_version"":1}","""0.0001275"""
5,37d11780-d4cb-4051-bdb0-f1d49603f302,gemini-1.5-pro,94,2,96,"{""model_options_schema_version"":1}","""0.0001275"""
6,4b7ad0fe-0b44-46aa-aafb-2a7c86594d16,gemini-1.5-pro,94,2,96,"{""model_options_schema_version"":1}","""0.0001275"""
7,423d6e98-6176-4126-adde-f307128dbfd4,Qwen/Qwen2.5-Coder-32B-Instruct,12456,50,12506,"{""model_options_schema_version"":1}",
8,12f7a529-607c-4c02-8462-542327fff4bb,Qwen/Qwen2.5-Coder-32B-Instruct,12486,30,12516,"{""model_options_schema_version"":1}",
9,bc51f02c-2762-4e0f-aba6-0dd67ce27ca5,Qwen/Qwen2.5-Coder-32B-Instruct,12456,50,12506,"{""model_options_schema_version"":1}",
10,d47d98c6-d57e-48c1-9e96-907fb9de80ac,Qwen/Qwen2.5-Coder-32B-Instruct,12483,27,12510,"{""model_options_schema_version"":1}",
11,114cdb7c-f2ac-4b3c-9040-59df22bea9e3,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
12,9b4446a8-9838-4e02-882f-e83511810706,gpt-4o-mini,10228,56,10284,"{""model_options_schema_version"":1}","""0.00156779"""
13,8c01bfe4-ce98-4587-a0bf-a6991e2d130b,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
14,7eb258b2-6b17-4b28-84e9-c3bbdf9b8eb3,Qwen/Qwen2.5-Coder-32B-Instruct,10281,54,10335,"{""model_options_schema_version"":1}",
15,d109b535-0a0a-43ea-88f0-df53f2f37a8d,Qwen/Qwen2.5-Coder-32B-Instruct,10311,526,10837,"{""model_options_schema_version"":1}",
